,Story,Task,Estimate min (hr),Estimate max (hr),Actual,Comment
0,Project Setup,Create time_estimates.csv & initial repo scaffolding,0.5,0.7,,
1,Design,Write ingestion pipeline design doc & diagram,1.0,1.4,,
2,API,Scaffold FastAPI project structure,0.5,0.7,,
3,API,Implement /api/upload route & validation,1.0,1.4,,
4,Worker,"Build ingestion worker: download, chunk, embed, upsert",2.0,2.81,,
5,API,Implement /api/similarity_search route + vector search wrapper,1.0,1.4,,
6,API,Implement /api/{journal_id} metadata route,0.5,0.7,,
7,Analytics,Add usage_count increment & /api/most_cited endpoint,0.5,0.7,,
8,Infrastructure,Integrate & configure Qdrant vector store,1.0,1.4,,
9,Infrastructure,Create manifest table & ORM models,0.5,0.7,,
10,Infrastructure,Set up Celery/Redis queue for background jobs,1.0,1.4,,
11,Docs,Write README & setup instructions,0.5,0.7,,
12,Demo,Record 5‑min Loom video demo,0.5,0.7,,
13,Testing,Write unit/integration tests,1.0,1.4,,
14,LLM Answerer,Implement LLM answer generation with inline citations,1.0,2.1,,
15,Frontend,Build simple React/Vue frontend to call APIs and display answers,3.0,4.21,,
16,Endpoints,Add summary and compare‑papers endpoints,1.0,1.4,,
17,Analytics,Implement persistent usage_count tracking & most‑cited chart endpoint,0.5,1.05,,
19,Testing,Write unit / integration tests for ingestion & search logic,1.5,2.1,,
